date_collected,product_itemid,product_shopid,product_category,product_name,product_price,product_price_min,product_price_max,product_discount,prod_rate_star_0,prod_rate_star_1,prod_rate_star_2,prod_rate_star_3,prod_rate_star_4,prod_rate_star_5,product_total_rating,stock,units_sold,status,shop_location
2021-06-13,7919342724,1083822,Short Sleeves,NKD Korean Fashion Erich Basic Daily Polo Tie Top 1104,300.0,135,138,55,3447,146,70,9,24,3696,4.89,134411,10154,1,"Taytay, Rizal"
2021-06-13,4843903203,55748694,Short Sleeves,SS Oversized Ringer Top Plus Size Korean Fashion Women Tops Basic Tee,200.0,75,75,63,13890,984,606,178,251,15909,4.77,7721,68171,1,"Taytay, Rizal"
2021-06-13,11405348262,396605392,Short Sleeves,Women's T-shirt Short Sleeve Collar with small daisy embroidery Korean Fashion 2021,391.0,294,294,25,0,0,0,0,0,0,0.0,10799,0,1,Mainland China
2021-06-13,2553628745,55748694,Short Sleeves,SS Korean Tops Square Neck Fashion Blouse Semi Crop Top,300.0,55,55,82,10138,778,459,200,249,11824,4.72,3358,35672,1,"Taytay, Rizal"
2021-06-13,7217869256,1083822,Short Sleeves,NKD Korean Fashion Edith Plain X Back Basic Top 1052,150.0,63,63,58,1422,59,34,12,17,1544,4.85,49297,4333,1,"Taytay, Rizal"
2021-06-13,3018638392,50582861,Short Sleeves,DIRECT SUPPLIER Korean Fashion Jade Plain Basic Cut Out Top 1054,150.0,58,58,61,80,2,0,0,0,82,4.98,8779,189,1,"Taytay, Rizal"
2021-06-13,5772767357,348906275,Short Sleeves,Korean style loose and comfortable long-sleeved top,603.0,423,423,30,0,0,0,0,0,0,0.0,5244,1,1,"Makati City, Metro Manila"
2021-06-13,4838940464,55748694,Short Sleeves,SS Korean Crop Top Cinched Cut Garter Tops V Neck Blouse,150.0,58,64,61,17229,1293,726,185,309,19742,4.77,34856,55528,1,"Taytay, Rizal"
2021-06-13,3216519312,1083822,Short Sleeves,NKD Korean Fashion Angel Printed Floral Puff Sleeves Ribbon Tie Top 1004,180.0,89,89,51,1074,49,26,6,9,1164,4.87,8570,3226,1,"Taytay, Rizal"
2021-06-13,7758962170,64360491,Short Sleeves,korean fashion knitted blouse knitted top shortsleeve,300.0,80,80,73,68,1,0,0,0,69,4.99,183,146,1,"Pasay City, Metro Manila"
2021-06-13,7956324829,36247807,Short Sleeves,Korean casual New top Women Clothes T-shirt Summer short sleeve cartoon long blouse(BVQ),200.0,79,79,61,7318,638,440,152,238,8786,4.67,320395,39881,1,"San Nicolas, Metro Manila"
